neuron_idx,TT,unit_idx,latency_s,latency_ms
0.000000,1.000000,0.000000,0.065933,65.933333
1.000000,1.000000,1.000000,0.052033,52.033333
2.000000,3.000000,0.000000,0.045267,45.266667
3.000000,3.000000,1.000000,0.051800,51.800000
4.000000,4.000000,0.000000,0.016033,16.033333
5.000000,4.000000,1.000000,0.024233,24.233333
6.000000,4.000000,2.000000,0.050100,50.100000
7.000000,5.000000,0.000000,0.019567,19.566667
8.000000,6.000000,0.000000,0.039233,39.233333
9.000000,6.000000,1.000000,0.028300,28.300000
10.000000,7.000000,0.000000,0.018800,18.800000
11.000000,7.000000,1.000000,0.025150,25.150000
12.000000,8.000000,0.000000,0.009767,9.766667
