Neuron	Degree	DegCenter	Betweeness	Closeness
0	0	0.0000	0.0000	0.0000
1	0	0.0000	0.0000	0.0000
2	0	0.0000	0.0000	0.0000
3	0	0.0000	0.0000	0.0000
4	0	0.0000	0.0000	0.0000
5	2	0.0690	0.0000	0.1516
6	3	0.1034	0.0021	0.1540
7	4	0.1379	0.0690	0.1822
8	4	0.1379	0.0378	0.1822
9	5	0.1724	0.1502	0.2183
10	4	0.1379	0.0390	0.2136
11	4	0.1379	0.0224	0.2310
12	6	0.2069	0.2349	0.2546
13	5	0.1724	0.0663	0.2613
14	5	0.1724	0.0418	0.2613
15	6	0.2069	0.1812	0.2797
16	6	0.2069	0.1204	0.2797
17	5	0.1724	0.0441	0.2721
18	5	0.1724	0.1515	0.2837
19	5	0.1724	0.1900	0.2759
20	4	0.1379	0.1358	0.2684
21	4	0.1379	0.1819	0.2546
22	4	0.1379	0.1064	0.2422
23	5	0.1724	0.1672	0.2257
24	5	0.1724	0.0630	0.2113
25	5	0.1724	0.0269	0.1910
26	6	0.2069	0.0719	0.1928
27	5	0.1724	0.0089	0.1789
28	4	0.1379	0.0008	0.1615
29	3	0.1034	0.0000	0.1602
