Neuron	Degree	DegCenter	Betweeness	Closeness
0	0	0.0000	0.0000	0.0000
1	0	0.0000	0.0000	0.0000
2	0	0.0000	0.0000	0.0000
3	0	0.0000	0.0000	0.0000
4	1	0.0345	0.0000	0.0345
5	1	0.0345	0.0000	0.0345
6	1	0.0345	0.0000	0.0865
7	2	0.0690	0.0542	0.0965
8	2	0.0690	0.1034	0.1079
9	3	0.1034	0.1478	0.1208
10	3	0.1034	0.0887	0.1341
11	3	0.1034	0.0887	0.1341
12	3	0.1034	0.2512	0.1483
13	3	0.1034	0.2759	0.1614
14	2	0.0690	0.0000	0.1520
15	3	0.1034	0.3103	0.1721
16	2	0.0690	0.3202	0.1788
17	3	0.1034	0.3251	0.1824
18	3	0.1034	0.1478	0.1806
19	3	0.1034	0.1478	0.1806
20	4	0.1379	0.3103	0.1754
21	3	0.1034	0.0474	0.1600
22	4	0.1379	0.2139	0.1643
23	4	0.1379	0.0727	0.1483
24	4	0.1379	0.1414	0.1495
25	4	0.1379	0.0696	0.1341
26	4	0.1379	0.0755	0.1331
27	4	0.1379	0.0443	0.1192
28	3	0.1034	0.0101	0.1169
29	2	0.0690	0.0000	0.1048
