Neuron	Degree	DegCenter	Betweeness	Closeness
0	0	0.0000	0.0000	0.0000
1	0	0.0000	0.0000	0.0000
2	0	0.0000	0.0000	0.0000
3	0	0.0000	0.0000	0.0000
4	0	0.0000	0.0000	0.0000
5	2	0.0690	0.0000	0.1370
6	4	0.1379	0.0271	0.1615
7	4	0.1379	0.0271	0.1615
8	4	0.1379	0.0140	0.1742
9	5	0.1724	0.1392	0.1910
10	4	0.1379	0.0664	0.2027
11	4	0.1379	0.1661	0.2207
12	4	0.1379	0.1038	0.2310
13	4	0.1379	0.1869	0.2483
14	4	0.1379	0.1270	0.2546
15	5	0.1724	0.2018	0.2684
16	5	0.1724	0.1356	0.2684
17	4	0.1379	0.0130	0.2546
18	6	0.2069	0.1739	0.2721
19	6	0.2069	0.1621	0.2648
20	4	0.1379	0.0124	0.2452
21	5	0.1724	0.1250	0.2546
22	5	0.1724	0.1666	0.2422
23	4	0.1379	0.1007	0.2257
24	4	0.1379	0.1364	0.2113
25	4	0.1379	0.0621	0.1947
26	5	0.1724	0.0996	0.1806
27	4	0.1379	0.0095	0.1655
28	3	0.1034	0.0000	0.1516
29	3	0.1034	0.0000	0.1516
