score,num_edges,density,feedforward_ratio,mean_edge_corr,lat_window_start,lat_window_end,conn_window_start,conn_window_end,conn_bin_size,corr_thresh,min_lat_diff,session
0.7305756864838971,1,0.011111111111111112,1.0,0.514471364244329,0.0,0.2,0.0,0.2,0.2,0.5,0.003,CIP_2
0.7305756864838971,1,0.011111111111111112,1.0,0.514471364244329,0.0,0.2,0.0,0.2,0.2,0.5,0.005,CIP_2
0.7222483631299679,1,0.00641025641025641,1.0,0.5030375165058866,0.0,0.2,0.05,0.25,0.2,0.5,0.01,V3A_1
0.7222483631299679,1,0.00641025641025641,1.0,0.5030375165058866,0.0,0.2,0.05,0.25,0.2,0.5,0.005,V3A_1
0.7222483631299679,1,0.00641025641025641,1.0,0.5030375165058866,0.0,0.2,0.05,0.25,0.2,0.5,0.003,V3A_1
0.714791187596913,5,0.06944444444444445,0.8,0.567358816639319,0.0,0.2,0.0,0.2,0.2,0.5,0.01,CIP_1
0.714791187596913,5,0.06944444444444445,0.8,0.567358816639319,0.0,0.2,0.0,0.2,0.2,0.5,0.005,CIP_1
0.714791187596913,5,0.06944444444444445,0.8,0.567358816639319,0.0,0.2,0.0,0.2,0.2,0.5,0.003,CIP_1
0.71396559728123,2,0.01282051282051282,1.0,0.45303712603461793,0.0,0.2,0.05,0.25,0.2,0.4,0.01,V3A_1
0.7089203519462589,8,0.1111111111111111,0.75,0.4949538519000397,0.0,0.2,0.0,0.2,0.2,0.3,0.003,CIP_1
0.7089203519462589,8,0.1111111111111111,0.75,0.4949538519000397,0.0,0.2,0.0,0.2,0.2,0.3,0.005,CIP_1
0.7089203519462589,8,0.1111111111111111,0.75,0.4949538519000397,0.0,0.2,0.0,0.2,0.2,0.3,0.01,CIP_1
0.7027070036434359,6,0.08333333333333333,0.8333333333333334,0.41964285464469203,0.0,0.2,0.0,0.1,0.1,0.3,0.005,CIP_1
0.7027070036434359,6,0.08333333333333333,0.8333333333333334,0.41964285464469203,0.0,0.2,0.0,0.1,0.1,0.3,0.01,CIP_1
0.7027070036434359,6,0.08333333333333333,0.8333333333333334,0.41964285464469203,0.0,0.2,0.0,0.1,0.1,0.3,0.003,CIP_1
0.681296920785496,2,0.01282051282051282,1.0,0.34414153771550476,0.0,0.2,0.0,0.2,0.2,0.3,0.01,V3A_1
0.669399566566493,1,0.00641025641025641,1.0,0.3268748612943035,0.0,0.2,0.0,0.1,0.1,0.3,0.01,V3A_1
0.669399566566493,1,0.00641025641025641,1.0,0.3268748612943035,0.0,0.2,0.0,0.1,0.1,0.3,0.005,V3A_1
0.669399566566493,1,0.00641025641025641,1.0,0.3268748612943035,0.0,0.2,0.0,0.1,0.1,0.3,0.003,V3A_1
0.6571515641263524,6,0.08333333333333333,0.6666666666666666,0.5455691673655251,0.0,0.2,0.0,0.2,0.2,0.4,0.003,CIP_1
0.6571515641263524,6,0.08333333333333333,0.6666666666666666,0.5455691673655251,0.0,0.2,0.0,0.2,0.2,0.4,0.01,CIP_1
0.6571515641263524,6,0.08333333333333333,0.6666666666666666,0.5455691673655251,0.0,0.2,0.0,0.2,0.2,0.4,0.005,CIP_1
0.6154116562788905,5,0.03205128205128205,0.8,0.38552046401373796,0.0,0.2,0.05,0.25,0.2,0.3,0.01,V3A_1
0.5985777748307869,3,0.041666666666666664,0.6666666666666666,0.5134142158093725,0.0,0.2,0.0,0.1,0.1,0.4,0.003,CIP_1
0.5985777748307869,3,0.041666666666666664,0.6666666666666666,0.5134142158093725,0.0,0.2,0.0,0.1,0.1,0.4,0.005,CIP_1
0.5985777748307869,3,0.041666666666666664,0.6666666666666666,0.5134142158093725,0.0,0.2,0.0,0.1,0.1,0.4,0.01,CIP_1
0.5589728171619135,6,0.038461538461538464,0.6666666666666666,0.3942333546628467,0.0,0.2,0.05,0.25,0.2,0.3,0.005,V3A_1
0.5589728171619135,6,0.038461538461538464,0.6666666666666666,0.3942333546628467,0.0,0.2,0.05,0.25,0.2,0.3,0.003,V3A_1
0.55277466111619,3,0.019230769230769232,0.6666666666666666,0.4479573533258754,0.0,0.2,0.05,0.25,0.2,0.4,0.005,V3A_1
0.55277466111619,3,0.019230769230769232,0.6666666666666666,0.4479573533258754,0.0,0.2,0.05,0.25,0.2,0.4,0.003,V3A_1
0.5461389814449995,3,0.041666666666666664,0.6666666666666666,0.33861823785674794,0.0,0.2,0.05,0.25,0.2,0.3,0.01,CIP_1
0.5461389814449995,3,0.041666666666666664,0.6666666666666666,0.33861823785674794,0.0,0.2,0.05,0.25,0.2,0.3,0.005,CIP_1
0.5461389814449995,3,0.041666666666666664,0.6666666666666666,0.33861823785674794,0.0,0.2,0.05,0.25,0.2,0.3,0.003,CIP_1
0.5224864089447598,3,0.019230769230769232,0.6666666666666666,0.34699651275444143,0.0,0.2,0.0,0.2,0.2,0.3,0.005,V3A_1
0.5224864089447598,3,0.019230769230769232,0.6666666666666666,0.34699651275444143,0.0,0.2,0.0,0.2,0.2,0.3,0.003,V3A_1
0.4827324822056276,2,0.022222222222222223,0.5,0.4810825272152094,0.0,0.2,0.0,0.2,0.2,0.4,0.005,CIP_2
0.45147178038252167,2,0.022222222222222223,0.5,0.37688018780485644,0.0,0.2,0.0,0.1,0.1,0.3,0.005,CIP_2
0.45147178038252167,2,0.022222222222222223,0.5,0.37688018780485644,0.0,0.2,0.0,0.1,0.1,0.3,0.003,CIP_2
0.4256653732341319,6,0.06666666666666667,0.3333333333333333,0.39223016998640653,0.0,0.2,0.0,0.2,0.2,0.3,0.005,CIP_2
0.415368632884334,7,0.07777777777777778,0.2857142857142857,0.39474957415772,0.0,0.2,0.0,0.2,0.2,0.3,0.003,CIP_2
0.40513689535788877,3,0.03333333333333333,0.3333333333333333,0.4573436845386733,0.0,0.2,0.0,0.2,0.2,0.4,0.003,CIP_2
0.33864801879568923,7,0.07777777777777778,0.14285714285714285,0.37710943195747537,0.0,0.2,0.05,0.25,0.2,0.3,0.003,CIP_2
0.3372592795053836,6,0.06666666666666667,0.16666666666666666,0.3753209686683567,0.0,0.2,0.05,0.25,0.2,0.3,0.005,CIP_2
0.268265650590334,1,0.013888888888888888,0.0,0.6302110896036821,0.0,0.2,0.0,0.2,0.2,0.6,0.005,CIP_1
0.268265650590334,1,0.013888888888888888,0.0,0.6302110896036821,0.0,0.2,0.0,0.2,0.2,0.6,0.01,CIP_1
0.268265650590334,1,0.013888888888888888,0.0,0.6302110896036821,0.0,0.2,0.0,0.2,0.2,0.6,0.003,CIP_1
0.24722036163260042,1,0.013888888888888888,0.0,0.5600601264112367,0.0,0.2,0.0,0.1,0.1,0.5,0.005,CIP_1
0.24722036163260042,1,0.013888888888888888,0.0,0.5600601264112367,0.0,0.2,0.0,0.1,0.1,0.5,0.01,CIP_1
