file,neuron_index,TT,unit_idx,trials_pre,spikes_pre,covered_sec_pre,rate_pre_hz,trials_during,spikes_during,covered_sec_during,rate_during_hz,trials_post,spikes_post,covered_sec_post,rate_post_hz
CIP_1.mat,0,2,0,775,9944,387.5,25.661935483870966,775,13141,387.5,33.91225806451613,775,10824,192.32363333333836,56.28013475202848
CIP_1.mat,1,3,0,775,9370,387.5,24.18064516129032,775,14719,387.5,37.98451612903226,775,14268,192.32363333333836,74.18745035494663
CIP_1.mat,2,4,0,775,9055,387.5,23.36774193548387,775,15162,387.5,39.12774193548387,775,16348,192.32363333333836,85.00255385496689
CIP_1.mat,3,4,1,775,1941,387.5,5.009032258064516,775,1574,387.5,4.061935483870967,775,2194,192.32363333333836,11.407854364925212
CIP_1.mat,4,5,0,775,6939,387.5,17.907096774193548,775,11426,387.5,29.486451612903227,775,7718,192.32363333333836,40.130273467863624
CIP_1.mat,5,6,0,775,3277,387.5,8.456774193548387,775,5531,387.5,14.273548387096774,775,6573,192.32363333333836,34.17676697386209
CIP_1.mat,6,7,0,775,3772,387.5,9.734193548387097,775,4994,387.5,12.887741935483872,775,7516,192.32363333333836,39.07996053180396
CIP_1.mat,7,8,0,775,12648,387.5,32.64,775,6649,387.5,17.158709677419356,775,1887,192.32363333333836,9.811586684874145
CIP_1.mat,8,8,1,775,14452,387.5,37.29548387096774,775,11287,387.5,29.127741935483872,775,8336,192.32363333333836,43.34360710392733
CIP_2.mat,0,2,0,775,10507,387.5,27.114838709677418,775,11841,387.5,30.55741935483871,775,14911,202.7446000000084,73.54573192084712
CIP_2.mat,1,3,0,775,15488,387.5,39.969032258064516,775,23692,387.5,61.14064516129032,775,23148,202.7446000000084,114.17320116047007
CIP_2.mat,2,4,0,775,9992,387.5,25.785806451612903,775,24277,387.5,62.65032258064516,775,18736,202.7446000000084,92.41183242364642
CIP_2.mat,3,5,0,775,10311,387.5,26.609032258064516,775,30912,387.5,79.77290322580644,775,10908,202.7446000000084,53.801679551512336
CIP_2.mat,4,5,1,775,2164,387.5,5.5845161290322585,775,7753,387.5,20.00774193548387,775,1836,202.7446000000084,9.05572824134366
CIP_2.mat,5,5,2,775,2073,387.5,5.349677419354839,775,7920,387.5,20.438709677419354,775,2312,202.7446000000084,11.403509637247572
CIP_2.mat,6,6,0,775,4983,387.5,12.859354838709677,775,12249,387.5,31.61032258064516,775,6327,202.7446000000084,31.206749772865653
CIP_2.mat,7,7,0,775,2725,387.5,7.032258064516129,775,14852,387.5,38.32774193548387,775,3753,202.7446000000084,18.51097390509954
CIP_2.mat,8,8,0,775,8909,387.5,22.990967741935485,775,22644,387.5,58.436129032258066,775,10910,202.7446000000084,53.81154417922622
CIP_2.mat,9,8,1,775,2011,387.5,5.1896774193548385,775,5262,387.5,13.579354838709678,775,1851,202.7446000000084,9.129712949197776
CIP_3.mat,0,2,0,775,9208,387.5,23.76258064516129,775,11763,387.5,30.356129032258064,775,9606,210.57793333333,45.617315394554566
CIP_3.mat,1,2,1,775,1736,387.5,4.48,775,2878,387.5,7.427096774193548,775,2011,210.57793333333,9.549908521595798
CIP_3.mat,2,4,0,775,9736,387.5,25.12516129032258,775,10215,387.5,26.361290322580643,775,8567,210.57793333333,40.68327513899115
CIP_3.mat,3,5,0,775,12931,387.5,33.37032258064516,775,13041,387.5,33.6541935483871,775,11898,210.57793333333,56.50164673791487
CIP_3.mat,4,7,0,775,7686,387.5,19.83483870967742,775,9234,387.5,23.829677419354837,775,6946,210.57793333333,32.98541252660587
CIP_3.mat,5,8,0,775,9847,387.5,25.411612903225805,775,13115,387.5,33.84516129032258,775,6785,210.57793333333,32.22084998459845
CIP_3.mat,6,8,1,775,7865,387.5,20.296774193548387,775,9330,387.5,24.07741935483871,775,6355,210.57793333333,30.178850648802236
CIP_3.mat,7,8,2,775,1902,387.5,4.908387096774193,775,2630,387.5,6.787096774193548,775,1614,210.57793333333,7.6646207627327785
CIP_4.mat,0,3,0,775,3621,387.5,9.344516129032257,775,3721,387.5,9.602580645161291,775,2067,190.36726666667434,10.857959123924578
