1.000000,0.297906,0.147703,0.119608,0.056677,-0.000590,0.003896,0.080807,0.101480,0.002052,-0.083533,-0.058460,0.089808
0.297906,1.000000,0.102003,0.050698,0.018893,-0.035641,-0.014951,0.096410,0.080892,-0.042802,-0.064635,-0.057910,0.121303
0.147703,0.102003,1.000000,0.274516,0.093527,-0.032516,0.130733,0.266610,0.227123,0.122711,-0.034602,-0.095365,0.317909
0.119608,0.050698,0.274516,1.000000,0.063349,-0.107465,0.008153,0.120724,0.194995,-0.056906,-0.054917,-0.066427,0.294014
0.056677,0.018893,0.093527,0.063349,1.000000,0.109007,0.005623,0.293571,-0.017381,0.138006,-0.001489,-0.102272,0.084033
-0.000590,-0.035641,-0.032516,-0.107465,0.109007,1.000000,0.035079,0.080742,-0.115610,0.107468,0.024420,-0.040152,-0.128352
0.003896,-0.014951,0.130733,0.008153,0.005623,0.035079,1.000000,0.177646,-0.003280,0.042561,-0.005686,-0.070446,0.045390
0.080807,0.096410,0.266610,0.120724,0.293571,0.080742,0.177646,1.000000,-0.011449,0.254082,-0.193439,-0.263280,0.194612
0.101480,0.080892,0.227123,0.194995,-0.017381,-0.115610,-0.003280,-0.011449,1.000000,0.080165,0.131111,0.068817,0.370374
0.002052,-0.042802,0.122711,-0.056906,0.138006,0.107468,0.042561,0.254082,0.080165,1.000000,0.107078,0.044137,0.082106
-0.083533,-0.064635,-0.034602,-0.054917,-0.001489,0.024420,-0.005686,-0.193439,0.131111,0.107078,1.000000,0.352706,-0.037180
-0.058460,-0.057910,-0.095365,-0.066427,-0.102272,-0.040152,-0.070446,-0.263280,0.068817,0.044137,0.352706,1.000000,-0.100977
0.089808,0.121303,0.317909,0.294014,0.084033,-0.128352,0.045390,0.194612,0.370374,0.082106,-0.037180,-0.100977,1.000000
