1.000000,0.157748,0.081599,0.224823,0.136360,0.096259,0.225287,0.266206,0.198264,0.109753
0.157748,1.000000,0.205575,0.165183,0.018147,0.139533,0.147337,0.199548,0.222974,0.170281
0.081599,0.205575,1.000000,0.199173,0.066788,0.040798,0.207073,0.210670,0.188048,0.236319
0.224823,0.165183,0.199173,1.000000,0.334759,0.170354,0.293322,0.384783,0.286512,0.245189
0.136360,0.018147,0.066788,0.334759,1.000000,0.203556,0.087096,0.220338,0.154175,0.116370
0.096259,0.139533,0.040798,0.170354,0.203556,1.000000,0.084557,0.229489,0.205914,0.180775
0.225287,0.147337,0.207073,0.293322,0.087096,0.084557,1.000000,0.409866,0.321701,0.277000
0.266206,0.199548,0.210670,0.384783,0.220338,0.229489,0.409866,1.000000,0.514471,0.349973
0.198264,0.222974,0.188048,0.286512,0.154175,0.205914,0.321701,0.514471,1.000000,0.447694
0.109753,0.170281,0.236319,0.245189,0.116370,0.180775,0.277000,0.349973,0.447694,1.000000
