1.000000,0.044764,-0.008572,0.000938,0.001908,0.025172,-0.051437,0.049605,0.006376,-0.013517
0.044764,1.000000,0.141597,-0.010433,0.102092,0.002929,0.039046,0.018580,0.035955,-0.037227
-0.008572,0.141597,1.000000,0.161749,0.061117,0.028188,-0.009046,-0.057432,-0.006277,-0.069541
0.000938,-0.010433,0.161749,1.000000,0.091970,-0.029685,0.036751,-0.000633,0.017109,-0.056557
0.001908,0.102092,0.061117,0.091970,1.000000,0.032344,0.028423,-0.007529,-0.007904,0.024967
0.025172,0.002929,0.028188,-0.029685,0.032344,1.000000,0.031128,-0.037403,0.041779,-0.009770
-0.051437,0.039046,-0.009046,0.036751,0.028423,0.031128,1.000000,-0.101451,-0.030381,-0.041610
0.049605,0.018580,-0.057432,-0.000633,-0.007529,-0.037403,-0.101451,1.000000,-0.010743,-0.001401
0.006376,0.035955,-0.006277,0.017109,-0.007904,0.041779,-0.030381,-0.010743,1.000000,0.018844
-0.013517,-0.037227,-0.069541,-0.056557,0.024967,-0.009770,-0.041610,-0.001401,0.018844,1.000000
